clinic,area,phone,email,website,owner,status
Tannlegehuset Lillestrøm AS,Lillestrøm,+47 90 48 82 82,,,,ring
Kjeller Tannhelse,Kjeller,+47 63 81 36 76,,kjellertannhelse.no,,finn kontakt
Strømmen Tannklinikk Pluss,Strømmen,+47 97 34 30 88,,,Majid Rahimi,ring
Tannlegene i Concordiabygget,Lillestrøm,+47 63 80 55 77,,,,ring
Skedsmokorset Tannhelsesenter,Skedsmokorset,+47 63 87 94 00,,,,ring
Skedsmosenter Tannlegekontor,Skedsmokorset,+47 63 87 61 26,,,,ring
Clear Tannlegesenter,Drammen sentrum,+47 23 65 43 43,,cleartannlegesenter.no,,finn kontakt
Holmlia Tannlegesenter (Helsehus),Holmlia / Søndre Nordstrand,+47 21 68 67 68,,,,ring
Tannstudio Drammen,Drammen sentrum,+47 47 65 11 11,,,,ring
Fjellhamar Tannlegesenter (Emal Mangal),Fjellhamar / Lørenskog,+47 98 66 66 90,,,Emal Mangal (trolig eier),ring
Drammen Tannhelsesenter,Drammen sentrum,+47 40 07 00 26,,,,ring
Hvite Smil AS,Drammen sentrum,+47 32 83 38 72,,,,ring
Holmliatannlegene,Holmlia,+47 22 61 42 08,,,,ring
Drammen tannlegesenter (Viken Tannregulering),Drammen sentrum,+47 32 83 60 00,,,,ring
Flow Tannhelse (Sarpsborg + Fredrikstad),Sarpsborg / Fredrikstad,+47 69 16 75 00,hei@flowtannhelse.no,flowtannhelse.no,,ready
Tannkunsten Ski,Ski / Nordre Follo,+47 64 87 10 00,hei@tannkunsten.no,tannkunsten.no,,ready
Astra Tannklinikk,Grålum / Sarpsborg,+47 40 89 60 40,post@astratannklinikk.no,astratannklinikk.no,,ready
Ski Tannlegesenter,Ski / Nordre Follo,+47 64 85 26 00,,,,ring
Tønsberg Tannlegevakt,Tønsberg,+47 40 61 12 12,,,,ring
Jessheim Tannlegesenter,Jessheim / Ullensaker,+47 63 94 76 00,,,,ring
Kongsberg Tannlegesenter AS,Kongsberg,+47 32 73 14 34,,,,ring
Accept Dental Kongsberg,Kongsberg,+47 32 75 32 33,,,,ring
Byens Tannlege Hønefoss,Hønefoss,+47 91 25 19 04,,,,ring
Tonsberg Dental AS,Tønsberg,+47 33 37 98 00,,,,ring
Asker Tannhelse AS,Asker sentrum,+47 66 78 65 00,,,,ring
Follo Tannlegesenter,Ski / Nordre Follo,+47 64 87 53 20,,,,ring
Tannlege Hai Hoang Nguyen,Moss,+47 69 25 43 55,,,Hai Hoang Nguyen,ring
Askim Tannhelsesenter (Heyden og Berg),Askim / Indre Østfold,+47 69 88 12 30,,,,ring
Sentrumstannlegene Hønefoss,Hønefoss,+47 32 12 23 76,,,,ring
Tannlege Niclas Berggren,Hønefoss,+47 32 12 10 10,,,Niclas Berggren,ring
Tannlege Andrei Jachter,Kongsberg,+47 32 73 24 97,,,Andrei Jachter,ring
Frisk Tannhelse avd. Tønsberg,Tønsberg,+47 33 32 84 50,,,,ring
Majorstua Tannlegene,Majorstuen / Oslo vest,+47 22 60 55 57,info@majorstuatannlegene.no,majorstuatannlegene.no,,ready
Nydalen Tannlegesenter,Nydalen / Oslo nord,+47 22 23 03 03,info@nydalentannlegesenter.no,nydalentannlegesenter.no,,ready
Grünerløkkas Hus Tannlegesenter,Grünerløkka,+47 22 38 20 18,,,,ring
Nittedal Tannlegesenter,Nittedal,+47 67 07 77 77,,,,ring
Eidel Tannlegesenter,Eidsvoll,+47 67 49 10 00,,,,ring
Kolbotn Tannklinikk (+ kjeveortoped Anshu Shokeen),Kolbotn / Sofiemyr,+47 40 12 22 22,,,,ring
Norfloss Tannklinikk,Halden,+47 69 10 90 19,,,,ring
Blid – Tannlege Grünerløkka (+ Ensjø),Grünerløkka / Ensjø,+47 22 12 00 33,,blid.no,,finn kontakt
Smil Tannlegesenter Nydalen,Nydalen,+47 23 65 18 81,,,,ring
Tanntunet Tannhelsesenter,Nydalen / Storo,+47 22 15 00 00,,,,ring
Grünerløkka Tannhelsesenter,Grünerløkka,+47 22 35 77 92,,,,ring
Halden Dental Center AS,Halden,+47 69 17 51 52,,,,ring
Dentist Budak,Hokksund,+47 32 75 32 32,,,Lutfi Budak (trolig eier),ring
Linden Tannklinikk AS,Horten,+47 33 50 21 22,,,,ring
Lambertseter-klyngen (3 klinikker),Lambertseter / Oslo sør,+47 40 20 60 30,,,,ring
OC Kolbotn Tannhelse AS,Kolbotn,+47 66 80 25 15,,,,ring
Majorstuen Tannlegesenter,Majorstuen,+47 22 46 67 54,,,,ring
Hokksund Tannlegesenter,Hokksund,+47 32 75 20 50,,,,ring
Storo Storsenter Tannklinikk,Storo,+47 22 09 88 30,,,,ring
Dyrendal Tannhelsesenter,Halden,+47 69 21 10 60,,,,ring
Sommerro Tannklinikk,Nittedal,+47 67 07 22 69,,,,ring
Dental House AS,Horten,+47 33 04 59 55,,,,ring
Tannlege Vemund Jenssen,Eidsvoll,+47 63 96 49 38,,,Vemund Jenssen,ring
Tannlege Hieu Trung Tran,Eidsvoll Verk,+47 63 95 20 40,,,Hieu Trung Tran,ring
Tannlegeteam Linderud,Linderud / Groruddalen,+47 22 65 57 77,,tannlegeteam.no,,finn kontakt
Rødtvedt Tannhelsesenter AS,Rødtvet / Groruddalen,+47 22 25 39 01,,rodtvedttannhelse.no,,finn kontakt
Kalbakken Tannlegesenter AS,Kalbakken / Groruddalen,+47 22 25 34 74,,kalbakkentannleger.no,,finn kontakt
Ammerud Tannklinikk,Ammerud / Groruddalen,+47 22 25 37 76,,ammerudtannlege.no,,finn kontakt
Groruddalen Tannlegesenter (GDTS),Kalbakken / Groruddalen,+47 92 02 92 02,,groruddalentannlegesenter.no,f.eks. Ali Raza Khan,finn kontakt
